Removed Pin From Net: NetName=V_COB_1 Pin=J3-9
Removed Pin From Net: NetName=IO1 Pin=J4-8
Change Component Description : Designator=F1 Old Description=2410 SMT Fuse New Description=2410 SMT Fuse | Quick Acting | 250mA | Higher AC Voltage
Change Component Description : Designator=*C13 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck3 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck4 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck5 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck6 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck7 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck8 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck1 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck2 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck3 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck4 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck5 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck6 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck7 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C18_Buck8 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck1 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck2 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck3 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck4 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck5 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck6 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck7 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C20_Buck8 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck1 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck2 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck3 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck4 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck5 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck6 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck7 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C21_Buck8 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=U4 Old Description=Microchip 4-channel 12 bit Serial DAC 10-Pin MSOP New Description=Microchip 4-channel 12 bit Serial DAC 10-Pin MSOP | Microchip Technology Inc. MCP4728-E/UN
Change Component Description : Designator=U5 Old Description=Microchip 4-channel 12 bit Serial DAC 10-Pin MSOP New Description=Microchip 4-channel 12 bit Serial DAC 10-Pin MSOP | Microchip Technology Inc. MCP4728-E/UN
Added Pin To Net: NetName=G_COB_8 Pin=J4-8
Added Pin To Net: NetName=NetJ3_9 Pin=J3-9
Added Net: Name=NetJ3_9
Added Member To Class: ClassName=V_COB_[1..8] Member=Element[0]: V_COB_
